date,weather,temperature_high,temperature_low
2019年01月08日,小雨/小雨,16℃,9℃
2019年01月09日,小雨/小雨,20℃,8℃
2019年01月10日,小雨/晴,19℃,7℃
2019年01月11日,晴/晴,23℃,6℃
2019年01月12日,晴/晴,22℃,6℃
2019年01月13日,晴/晴,24℃,6℃
2019年01月14日,晴/晴,24℃,8℃
2019年01月15日,晴/晴,22℃,6℃
2019年01月16日,晴/晴,22℃,4℃
2019年01月17日,晴/晴,20℃,5℃
2019年01月18日,晴/晴,23℃,6℃
2019年01月19日,晴/晴,23℃,6℃
2019年01月20日,晴/晴,22℃,6℃
2019年01月21日,晴/晴,22℃,6℃
2019年01月22日,晴/晴,24℃,6℃
2019年01月23日,晴/晴,24℃,6℃
2019年01月24日,晴/晴,26℃,7℃
2019年01月25日,晴/晴,26℃,6℃
2019年01月26日,晴/晴,24℃,7℃
2019年01月27日,晴/晴,24℃,8℃
2019年01月28日,晴/晴,26℃,10℃
2019年01月29日,多云/阵雨,27℃,11℃
2019年01月30日,阵雨/晴,22℃,6℃
2019年01月31日,晴/晴,24℃,6℃
2019年02月01日,晴/晴,25℃,5℃
2019年02月02日,晴/晴,27℃,5℃
2019年02月03日,晴/晴,26℃,7℃
2019年02月04日,晴/晴,24℃,8℃
2019年02月05日,晴/晴,25℃,8℃
2019年02月06日,晴/晴,27℃,6℃
2019年02月07日,晴/晴,26℃,10℃
2019年02月08日,晴/晴,31℃,10℃
2019年02月09日,晴/多云,31℃,11℃
2019年02月10日,多云/晴,28℃,12℃
2019年02月11日,晴/晴,30℃,10℃
2019年02月12日,晴/晴,30℃,10℃
2019年02月13日,晴/晴,29℃,10℃
2019年02月14日,晴/晴,29℃,11℃
2019年02月15日,晴/晴,29℃,11℃
2019年02月16日,晴/晴,29℃,13℃
2019年02月17日,小雨/晴,26℃,10℃
2019年02月18日,晴/晴,24℃,10℃
2019年02月19日,晴/晴,25℃,10℃
2019年02月20日,晴/晴,26℃,8℃
2019年02月21日,晴/晴,26℃,10℃
2019年02月22日,晴/晴,29℃,11℃
2019年02月23日,晴/晴,26℃,11℃
2019年02月24日,晴/晴,28℃,12℃
2019年02月25日,多云/多云,29℃,13℃
2019年02月26日,多云/多云,25℃,11℃
2019年02月27日,晴/晴,25℃,12℃
2019年02月28日,晴/晴,26℃,13℃
2019年03月01日,晴/晴,26℃,7℃
2019年03月02日,晴/晴,25℃,7℃
