date,weather,temperature_high,temperature_low
2019年02月05日,晴/晴,10℃,-5℃
2019年02月06日,晴/晴,11℃,-2℃
2019年02月07日,多云/晴,12℃,-6℃
2019年02月08日,晴/多云,14℃,-6℃
2019年02月09日,多云/小雪,13℃,-4℃
2019年02月10日,阴/晴,4℃,-6℃
2019年02月11日,多云/阴,6℃,-5℃
2019年02月12日,多云/多云,9℃,-9℃
2019年02月13日,晴/晴,10℃,-8℃
2019年02月14日,晴/晴,11℃,-4℃
2019年02月15日,晴/晴,11℃,-4℃
2019年02月16日,晴/晴,11℃,-3℃
2019年02月17日,小雨/雨夹雪,9℃,-5℃
2019年02月18日,晴/晴,5℃,-6℃
2019年02月19日,晴/晴,7℃,-5℃
2019年02月20日,多云/晴,8℃,-6℃
2019年02月21日,晴/晴,9℃,-5℃
2019年02月22日,晴/多云,13℃,-4℃
2019年02月23日,晴/小雨,10℃,-3℃
2019年02月24日,小雨/小雨,9℃,-4℃
2019年02月25日,多云/小雪,5℃,-4℃
2019年02月26日,小雪/小雪,8℃,-4℃
2019年02月27日,晴/晴,4℃,-5℃
2019年02月28日,晴/晴,8℃,-3℃
2019年03月01日,多云/多云,7℃,-6℃
2019年03月02日,晴/晴,5℃,-9℃
2019年03月03日,晴/多云,11℃,-7℃
2019年03月04日,阴/阴,10℃,-6℃
2019年03月05日,晴/小雨,9℃,-6℃
2019年03月06日,多云/小雪,9℃,-3℃
2019年03月07日,小雪/小雪,7℃,-5℃
2019年03月08日,小雪/小雪,8℃,-4℃
2019年03月09日,多云/小雪,5℃,-8℃
2019年03月10日,多云/晴,6℃,-7℃
2019年03月11日,多云/多云,10℃,-7℃
2019年03月12日,小雪/多云,11℃,-5℃
2019年03月13日,晴/晴,11℃,-5℃
2019年03月14日,晴/多云,17℃,-3℃
2019年03月15日,小雪/小雪,13℃,-2℃
2019年03月16日,中雪/小雪,5℃,-3℃
2019年03月17日,雨夹雪/晴,6℃,-6℃
2019年03月18日,多云/阴,11℃,-4℃
2019年03月19日,小雪/晴,11℃,-6℃
2019年03月20日,多云/多云,10℃,-3℃
2019年03月21日,晴/晴,7℃,-3℃
2019年03月22日,多云/小雪,11℃,-2℃
2019年03月23日,小雪/小雪,7℃,-5℃
2019年03月24日,小雪/多云,3℃,-6℃
2019年03月25日,晴/多云,11℃,-3℃
2019年03月26日,晴/多云,16℃,-2℃
2019年03月27日,小雪/多云,8℃,-7℃
2019年03月28日,晴/晴,7℃,-6℃
2019年03月29日,晴/晴,12℃,-5℃
2019年03月30日,晴/晴,15℃,-1℃
2019年03月31日,小雨/小雨,13℃,1℃
2019年04月01日,阴/雨夹雪,13℃,0℃
2019年04月02日,小雨/小雨,12℃,0℃
2019年04月03日,晴/晴,12℃,-1℃
2019年04月04日,小雨/晴,8℃,-5℃
2019年04月05日,多云/晴,3℃,-7℃
2019年04月06日,晴/晴,8℃,-4℃
2019年04月07日,多云/多云,17℃,-1℃
2019年04月08日,雨夹雪/小雪,15℃,-2℃
2019年04月09日,小雨/小雨,15℃,0℃
2019年04月10日,晴/晴,9℃,-2℃
2019年04月11日,晴/晴,18℃,0℃
2019年04月12日,晴/晴,18℃,0℃
2019年04月13日,晴/多云,21℃,1℃
2019年04月14日,多云/多云,20℃,2℃
2019年04月15日,晴/晴,13℃,0℃
2019年04月16日,晴/晴,14℃,2℃
2019年04月17日,小雨/晴,16℃,1℃
2019年04月18日,晴/多云,22℃,4℃
2019年04月19日,多云/多云,21℃,2℃
2019年04月20日,晴/晴,17℃,3℃
2019年04月21日,小雨/晴,11℃,2℃
2019年04月22日,多云/多云,15℃,1℃
2019年04月23日,小雨/晴,15℃,0℃
2019年04月24日,晴/晴,16℃,0℃
2019年04月25日,晴/晴,20℃,1℃
2019年04月26日,晴/多云,25℃,3℃
2019年04月27日,多云/多云,23℃,4℃
2019年04月28日,多云/阵雨,22℃,6℃
2019年04月29日,多云/小雨,19℃,4℃
2019年04月30日,晴/晴,17℃,3℃
2019年05月01日,多云/多云,17℃,3℃
2019年05月02日,多云/多云,21℃,3℃
2019年05月03日,晴/晴,20℃,5℃
2019年05月04日,多云/多云,21℃,7℃
2019年05月05日,小雨/晴,22℃,7℃
2019年05月06日,多云/小雨,24℃,6℃
2019年05月07日,多云/多云,20℃,3℃
2019年05月08日,小雨/小雨,12℃,1℃
2019年05月09日,阵雨/多云,11℃,2℃
2019年05月10日,多云/多云,17℃,2℃
2019年05月11日,小雨/小雨,19℃,3℃
2019年05月12日,小雨/小雨,13℃,5℃
2019年05月13日,小雨/小雨,13℃,2℃
2019年05月14日,小雨/小雨,15℃,3℃
2019年05月15日,多云/多云,19℃,5℃
2019年05月16日,多云/小雨,20℃,6℃
2019年05月17日,阵雨/多云,21℃,5℃
2019年05月18日,多云/小雨,21℃,6℃
2019年05月19日,多云/小雨,24℃,6℃
2019年05月20日,多云/小雨,21℃,6℃
2019年05月21日,阵雨/小雨,19℃,6℃
2019年05月22日,小雨/小雨,17℃,6℃
2019年05月23日,小雨/小雨,18℃,6℃
2019年05月24日,小雨/小雨,19℃,6℃
2019年05月25日,小雨/晴,20℃,6℃
2019年05月26日,多云/多云,24℃,8℃
2019年05月27日,多云/小雨,23℃,8℃
2019年05月28日,小雨/晴,22℃,7℃
2019年05月29日,阵雨/小雨,21℃,7℃
2019年05月30日,小雨/小雨,15℃,4℃
2019年05月31日,小雨/晴,9℃,1℃
2019年06月01日,晴/晴,12℃,1℃
2019年06月02日,晴/晴,18℃,3℃
2019年06月03日,多云/多云,22℃,5℃
2019年06月04日,阵雨/多云,21℃,4℃
2019年06月05日,阵雨/阵雨,20℃,6℃
2019年06月06日,晴/阵雨,22℃,7℃
2019年06月07日,阵雨/多云,24℃,8℃
2019年06月08日,阵雨/阵雨,23℃,9℃
2019年06月09日,阵雨/小雨,21℃,8℃
2019年06月10日,阵雨/阵雨,22℃,8℃
2019年06月11日,阵雨/阵雨,19℃,8℃
2019年06月12日,晴/晴,23℃,10℃
2019年06月13日,阵雨/晴,22℃,10℃
2019年06月14日,阵雨/阵雨,26℃,10℃
2019年06月15日,阵雨/小雨,23℃,11℃
2019年06月16日,阵雨/阵雨,22℃,10℃
2019年06月17日,阵雨/小雨,19℃,9℃
2019年06月18日,多云/多云,25℃,10℃
2019年06月19日,晴/晴,26℃,10℃
2019年06月20日,多云/多云,27℃,11℃
2019年06月21日,多云/多云,26℃,11℃
2019年06月22日,阵雨/阵雨,25℃,11℃
2019年06月23日,阵雨/小雨,24℃,11℃
2019年06月24日,阵雨/阵雨,23℃,11℃
2019年06月25日,多云/阴,23℃,12℃
2019年06月26日,阵雨/阵雨,21℃,11℃
2019年06月27日,阵雨/中雨,23℃,10℃
2019年06月28日,阵雨/阵雨,22℃,11℃
2019年06月29日,小雨/小雨,20℃,10℃
2019年06月30日,阵雨/阴,19℃,8℃
2019年07月01日,阵雨/小雨,21℃,10℃
2019年07月02日,小雨/小雨,21℃,10℃
2019年07月03日,小雨/小雨,18℃,8℃
2019年07月04日,阵雨/晴,20℃,9℃
2019年07月05日,阵雨/小雨,20℃,9℃
2019年07月06日,小雨/中雨,18℃,9℃
2019年07月07日,小雨/小雨,19℃,9℃
2019年07月08日,多云/多云,22℃,7℃
2019年07月09日,晴/多云,24℃,7℃
2019年07月10日,小雨/小雨,21℃,7℃
2019年07月11日,阵雨/阵雨,19℃,9℃
2019年07月12日,小雨/小雨,15℃,8℃
2019年07月13日,阵雨/阵雨,17℃,10℃
2019年07月14日,小雨/小雨,16℃,10℃
2019年07月15日,阵雨/阵雨,21℃,10℃
2019年07月16日,小雨/小雨,21℃,9℃
2019年07月17日,阵雨/小雨,23℃,10℃
2019年07月18日,小雨/小雨,23℃,10℃
2019年07月19日,阵雨/阵雨,19℃,10℃
2019年07月20日,阵雨/阴,23℃,10℃
2019年07月21日,阵雨/小雨,24℃,11℃
2019年07月22日,小雨/小雨,22℃,10℃
2019年07月23日,小雨/中雨,21℃,9℃
2019年07月24日,小雨/多云,12℃,6℃
2019年07月25日,多云/多云,21℃,8℃
2019年07月26日,多云/多云,23℃,8℃
2019年07月27日,多云/多云,26℃,9℃
