date,weather,temperature_high,temperature_low
2019年03月13日,多云/多云,15℃,9℃
2019年03月14日,多云/小雨,16℃,9℃
2019年03月15日,小雨/小雨,14℃,9℃
2019年03月16日,小雨/小雨,16℃,10℃
2019年03月17日,晴/晴,17℃,10℃
2019年03月18日,多云/阴,21℃,8℃
2019年03月19日,多云/多云,21℃,11℃
2019年03月20日,多云/多云,25℃,13℃
2019年03月21日,晴/小雨,17℃,9℃
2019年03月22日,阵雨/小雨,12℃,9℃
2019年03月23日,小雨/小雨,11℃,8℃
2019年03月24日,阵雨/多云,14℃,8℃
2019年03月25日,晴/阴,18℃,6℃
2019年03月26日,多云/阴,20℃,11℃
2019年03月27日,多云/多云,23℃,13℃
2019年03月28日,晴/晴,25℃,11℃
2019年03月29日,晴/晴,29℃,14℃
2019年03月30日,小雨/小雨,21℃,12℃
2019年03月31日,阴/小雨,17℃,13℃
2019年04月01日,阴/阴,16℃,13℃
2019年04月02日,小雨/晴,17℃,12℃
2019年04月03日,多云/晴,19℃,12℃
2019年04月04日,多云/晴,22℃,12℃
2019年04月05日,晴/晴,25℃,13℃
2019年04月06日,晴/晴,30℃,14℃
2019年04月07日,晴/多云,32℃,17℃
2019年04月08日,多云/多云,30℃,18℃
2019年04月09日,晴/小雨,29℃,17℃
2019年04月10日,小雨/小雨,21℃,13℃
2019年04月11日,多云/多云,24℃,15℃
2019年04月12日,阴/多云,24℃,17℃
2019年04月13日,多云/小雨,24℃,15℃
2019年04月14日,阵雨/小雨,21℃,14℃
2019年04月15日,阵雨/晴,20℃,13℃
2019年04月16日,晴/晴,25℃,15℃
2019年04月17日,晴/晴,28℃,17℃
2019年04月18日,多云/小雨,29℃,18℃
2019年04月19日,中雨/中雨,26℃,19℃
2019年04月20日,小雨/晴,22℃,15℃
2019年04月21日,晴/晴,26℃,17℃
2019年04月22日,多云/多云,29℃,18℃
2019年04月23日,晴/晴,29℃,19℃
2019年04月24日,晴/晴,31℃,20℃
2019年04月25日,晴/晴,34℃,21℃
2019年04月26日,多云/小雨,33℃,22℃
2019年04月27日,阵雨/中雨,31℃,20℃
2019年04月28日,中雨/多云,22℃,16℃
2019年04月29日,多云/多云,26℃,16℃
2019年04月30日,晴/晴,28℃,16℃
2019年05月01日,多云/阴,28℃,17℃
2019年05月02日,多云/小雨,24℃,17℃
2019年05月03日,晴/小雨,22℃,18℃
2019年05月04日,阴/小雨,23℃,17℃
2019年05月05日,小雨/小雨,20℃,17℃
2019年05月06日,中雨/中雨,18℃,14℃
2019年05月07日,小雨/小雨,15℃,13℃
2019年05月08日,阵雨/小雨,21℃,14℃
2019年05月09日,多云/多云,25℃,16℃
2019年05月10日,多云/多云,26℃,17℃
2019年05月11日,晴/中雨,28℃,19℃
2019年05月12日,小雨/小雨,24℃,16℃
2019年05月13日,多云/小雨,24℃,16℃
2019年05月14日,多云/阴,25℃,17℃
2019年05月15日,多云/多云,26℃,19℃
2019年05月16日,多云/多云,29℃,20℃
2019年05月17日,多云/大雨,30℃,20℃
2019年05月18日,阵雨/阴,28℃,19℃
2019年05月19日,小雨/小雨,22℃,15℃
2019年05月20日,多云/小雨,20℃,14℃
2019年05月21日,多云/多云,24℃,15℃
2019年05月22日,晴/多云,29℃,18℃
2019年05月23日,多云/小雨,30℃,20℃
2019年05月24日,小雨/晴,27℃,20℃
2019年05月25日,小雨/晴,29℃,21℃
2019年05月26日,多云/多云,33℃,20℃
2019年05月27日,小雨/小雨,24℃,16℃
2019年05月28日,小雨/晴,18℃,15℃
2019年05月29日,小雨/小雨,20℃,16℃
2019年05月30日,多云/阴,25℃,17℃
2019年05月31日,晴/晴,29℃,19℃
2019年06月01日,晴/晴,30℃,19℃
2019年06月02日,晴/晴,33℃,20℃
2019年06月03日,晴/多云,34℃,22℃
2019年06月04日,多云/暴雨,33℃,21℃
2019年06月05日,晴/晴,31℃,20℃
2019年06月06日,晴/晴,31℃,22℃
2019年06月07日,晴/晴,31℃,22℃
2019年06月08日,晴/晴,29℃,22℃
2019年06月09日,阵雨/阵雨,29℃,22℃
2019年06月10日,阵雨/阵雨,28℃,22℃
2019年06月11日,中雨/小雨,25℃,21℃
2019年06月12日,多云/晴,30℃,22℃
2019年06月13日,多云/晴,31℃,22℃
2019年06月14日,阵雨/大雨,30℃,22℃
2019年06月15日,小雨/中雨,23℃,19℃
2019年06月16日,阵雨/阵雨,25℃,20℃
2019年06月17日,小雨/阴,25℃,20℃
2019年06月18日,阴/小雨,27℃,21℃
