date,weather,temperature_high,temperature_low
2019年05月12日,小雨/小雨,11℃,4℃
2019年05月13日,多云/小雨,14℃,3℃
2019年05月14日,多云/小雨,18℃,5℃
2019年05月15日,阵雨/小雨,17℃,5℃
2019年05月16日,阵雨/多云,15℃,2℃
2019年05月17日,阵雨/小雨,17℃,4℃
2019年05月18日,阵雨/小雨,18℃,4℃
2019年05月19日,小雨/小雨,11℃,3℃
2019年05月20日,小雨/小雨,15℃,3℃
2019年05月21日,多云/阴,17℃,4℃
2019年05月22日,晴/阵雨,14℃,4℃
2019年05月23日,阵雨/小雨,18℃,6℃
2019年05月24日,晴/晴,21℃,5℃
2019年05月25日,小雨/小雨,20℃,6℃
2019年05月26日,阵雨/小雨,15℃,5℃
2019年05月27日,小雨/小雨,16℃,4℃
2019年05月28日,阴/小雨,15℃,5℃
2019年05月29日,阵雨/小雨,17℃,5℃
2019年05月30日,小雨/小雨,9℃,4℃
2019年05月31日,小雨/晴,7℃,0℃
2019年06月01日,晴/晴,16℃,1℃
2019年06月02日,晴/晴,19℃,2℃
2019年06月03日,多云/小雨,22℃,5℃
2019年06月04日,小雨/多云,17℃,1℃
2019年06月05日,多云/小雨,21℃,4℃
2019年06月06日,晴/阵雨,19℃,6℃
2019年06月07日,阵雨/阵雨,19℃,7℃
2019年06月08日,阵雨/阵雨,17℃,8℃
2019年06月09日,阵雨/小雨,17℃,7℃
2019年06月10日,阵雨/阵雨,17℃,8℃
2019年06月11日,阵雨/多云,17℃,6℃
2019年06月12日,晴/晴,23℃,9℃
2019年06月13日,阵雨/晴,24℃,8℃
2019年06月14日,阵雨/阵雨,22℃,9℃
2019年06月15日,阵雨/小雨,19℃,8℃
2019年06月16日,阵雨/阵雨,15℃,7℃
2019年06月17日,小雨/小雨,15℃,8℃
2019年06月18日,多云/小雨,22℃,10℃
2019年06月19日,阵雨/阵雨,26℃,11℃
2019年06月20日,阵雨/小雨,25℃,12℃
2019年06月21日,阵雨/小雨,22℃,10℃
2019年06月22日,阵雨/多云,22℃,11℃
2019年06月23日,小雨/小雨,22℃,10℃
2019年06月24日,阵雨/阵雨,21℃,12℃
2019年06月25日,阵雨/小雨,20℃,10℃
2019年06月26日,阵雨/多云,21℃,11℃
2019年06月27日,小雨/小雨,19℃,7℃
2019年06月28日,阵雨/阵雨,17℃,8℃
2019年06月29日,小雨/小雨,13℃,6℃
2019年06月30日,小雨/阴,14℃,7℃
2019年07月01日,多云/小雨,22℃,9℃
2019年07月02日,小雨/阴,17℃,9℃
2019年07月03日,小雨/小雨,17℃,9℃
2019年07月04日,多云/晴,18℃,8℃
2019年07月05日,晴/阴,22℃,8℃
2019年07月06日,小雨/小雨,16℃,5℃
2019年07月07日,小雨/阵雨,17℃,6℃
2019年07月08日,多云/晴,22℃,4℃
2019年07月09日,晴/多云,23℃,4℃
2019年07月10日,阵雨/小雨,21℃,6℃
2019年07月11日,阵雨/多云,16℃,7℃
2019年07月12日,阴/多云,18℃,6℃
2019年07月13日,晴/多云,18℃,8℃
2019年07月14日,小雨/小雨,18℃,7℃
2019年07月15日,阵雨/阵雨,16℃,9℃
2019年07月16日,小雨/小雨,18℃,9℃
2019年07月17日,小雨/小雨,21℃,10℃
2019年07月18日,小雨/小雨,21℃,10℃
2019年07月19日,阵雨/多云,19℃,6℃
2019年07月20日,多云/小雨,24℃,9℃
2019年07月21日,阵雨/小雨,22℃,9℃
2019年07月22日,阵雨/多云,20℃,8℃
2019年07月23日,阵雨/小雨,22℃,8℃
2019年07月24日,小雨/多云,13℃,3℃
2019年07月25日,晴/晴,23℃,5℃
2019年07月26日,晴/晴,25℃,5℃
2019年07月27日,晴/晴,27℃,5℃
2019年07月28日,晴/小雨,27℃,9℃
2019年07月29日,阵雨/阴,21℃,7℃
2019年07月30日,晴/晴,23℃,6℃
2019年07月31日,晴/多云,23℃,6℃
2019年08月01日,阵雨/阵雨,22℃,8℃
2019年08月02日,阵雨/多云,18℃,4℃
2019年08月03日,晴/多云,24℃,7℃
2019年08月04日,小雨/小雨,22℃,7℃
2019年08月05日,中雨/小雨,14℃,6℃
2019年08月06日,多云/多云,21℃,5℃
